"As a researcher, I want to export items I have saved to my list in a structured format such as a spreadsheet so that I can sort them and add notes"
"As a researcher, I want to save items so that I can find them again later"
"As a researcher, I want to support content in multiple languages."
"As a researcher, I want the ability to search or browse for materials."
"As a researcher, I want the ability to facet search results."
"As a researcher, I want to download, print, or email content."
"As a researcher, I want to be able to control some of the display elements on the page (number of hits, title only, etc.)"
"As a researcher, I want to be able to share content using social media buttons."
"As a researcher, I want to be able to save searches and see my search history."
"As a researcher, I want the format of the material to be clear from my search (text, audiovisual, etc.)"
"As a researcher, I want the option to download digital object metadata for research."
"As a designer, I want to meet all accessibility standards for researchers"
"As a researcher, I want any restrictions on access and use to be clear and concise"
"As a researcher, I want to be able to select documents and build my own "library"""s a rese"
"As a researcher, I want to be able to choose how my search results are displayed (relevance, date, title, other)"
"As a researcher, I want the ability to download large datasets at a time."
"As a researcher, I want to control some display settings with digital objects (Zoom, rotate, etc.)"
"As a researcher, I want robust advanced search options."
"As a researcher, I want to automatically generate a citation for the object I'm looking at."
"As a researcher, I want to handle multiple file types relating to a single object."
"As a researcher, I would like to be able to stream media alongside a transcript of that content."
"As a researcher, I want access to digital content online."
"As a researcher, I'd like a representative image from each folder in the finding aid."
"As a researcher, I want search results to take me directly to the relevant information, not the top of a finding aid."
"As a researcher, I want language and terminology for me, not technical archival terms."
"As a researcher, I want to search across all materials, not siloed sections of content."
"As a researcher, I want the option to download single pages of a resource, or the entire document."
"As a researcher, I want to be able to view a list view of items as well as a thumbnail view."
"As a researcher, I want to be able to discern original order from the display of digital material."
"As a researcher, it is important for me to view digital materials in context."
"As a researcher, it is very important for me to view digital content online."
"As a researcher, OCR'd text in digital materials is important to me."
"As a researcher, I want to import digitized content into Zotero along with any embedded metadata."
"As a researcher, I want to search for archival materials on a mobile device."
"As a researcher, I want a single account for all systems."
"As a researcher, I want to group images together in public or private collections, so that I can create my own unique aggregates of images relevant to my research, reference tasks, curated exhibit or other business needs"
"As a researcher, I want to be able to search, browse and view digital records from my personal workstation so that I do not have to contact or visit the RAC every time I want to do research."
